,Experience,Age,Success,Education,Fav_lang_C++,Fav_lang_JavaScript,Fav_lang_MATLAB,Fav_lang_Python,Fav_lang_R,Fav_lang_Scala,Fav_lang_Whitespace,Fav_movie_And Now for Something Completely Different,Fav_movie_Monty Python Live at the Hollywood Bowl,Fav_movie_Monty Python and the Holy Grail,Fav_movie_Monty Python's Life of Brian,Fav_movie_Monty Python's The Meaning of Life,Fav_movie_Time Bandits,Sklearn_Nope.,Sklearn_Yep!,Humans_Machines_Skynet is a WINNER!,Humans_Machines_Team Humans!,Fav_Game_Chess,Fav_Game_Go,Fav_Game_Longing for the sweet release of death,"Fav_Game_Tic-tac-toe (Br. Eng. ""noughts and crosses"")"
27,2.0,46,True,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
28,3.0,31,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
29,27.0,63,True,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
30,10.0,99,False,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
31,3.0,48,True,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
32,3.0,24,False,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
33,4.0,28,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
34,4.0,25,False,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
35,3.0,35,True,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
36,2.0,46,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
37,4.0,22,False,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
38,1.0,22,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
39,2.0,48,False,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
40,8.0,33,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
41,2.0,41,False,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
42,1.0,31,False,10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
43,1.0,39,False,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
44,7.0,24,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
45,1.0,31,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
46,3.0,28,True,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
47,2.0,40,True,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
48,1.0,36,True,10,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
49,1.0,42,True,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
50,25.0,25,True,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
51,0.0,37,True,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
52,1.0,36,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
53,10.0,3,True,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
54,2.0,46,True,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
55,12.0,30,True,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
56,2.0,46,False,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
57,6.0,49,True,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
58,2.0,33,True,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
59,2.0,60,False,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
60,12.0,46,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
61,1.0,36,True,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
62,8.0,38,True,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
63,6.0,51,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
64,1.0,28,False,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
65,4.0,32,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
66,2.0,25,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
67,5.0,31,True,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
68,1.0,24,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
69,5.0,53,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
70,5.0,27,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
71,0.0,34,True,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
72,1.0,36,True,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
73,3.0,20,False,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
74,1.0,27,True,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
75,3.0,30,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
76,5.0,39,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
77,0.0,37,True,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
78,5.0,30,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
79,1.0,32,False,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
80,8.0,52,True,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
81,7.0,12,False,-10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
82,3.0,29,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
83,7.0,37,True,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
84,5.0,34,True,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
85,3.0,3,False,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
86,2.0,32,True,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
87,0.0,31,True,10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
88,2.0,27,False,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
89,12.0,46,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
90,4.0,51,False,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
91,0.0,41,True,8,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
92,1.0,40,False,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
93,4.0,40,True,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
94,2.0,39,False,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
95,1.0,57,True,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
96,0.5,23,True,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
97,2.0,23,True,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
98,8.0,41,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
99,1.0,27,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
100,1.0,47,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
101,5.0,49,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
102,2.0,32,True,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
103,1.0,26,True,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
104,1.0,26,True,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
105,1.0,29,True,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
106,3.0,30,True,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
107,0.5,52,False,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
108,7.0,26,True,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
109,0.5,27,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
110,3.0,30,True,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
111,1.0,34,True,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
112,4.0,35,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
113,3.0,44,True,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
114,25.0,76,False,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
115,25.0,75,True,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
116,20.0,53,False,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
117,4.0,33,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
118,1.0,31,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
119,12.0,60,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
120,7.0,48,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
121,3.0,32,True,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
122,3.0,34,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
123,5.0,24,True,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
124,4.0,34,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
125,0.0,32,True,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
126,2.0,46,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
127,1.0,27,True,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
128,0.2,43,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
129,5.0,32,False,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
130,2.0,41,True,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
131,7.0,28,True,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
132,4.0,47,True,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
133,2.0,27,True,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
134,4.0,37,True,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
135,2.0,60,False,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
136,2.0,41,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
137,3.0,27,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
138,2.0,40,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
139,4.0,29,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
140,3.0,28,False,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
141,2.0,36,True,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
142,1.0,28,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
143,2.0,46,False,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
144,3.0,31,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
145,27.0,63,False,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
146,10.0,99,False,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
147,3.0,48,False,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
148,3.0,24,False,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
149,4.0,28,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
150,4.0,25,False,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
151,3.0,35,False,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
152,2.0,46,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
153,4.0,22,True,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
154,1.0,22,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
155,2.0,48,False,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
156,8.0,33,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
157,2.0,41,False,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
158,1.0,31,False,10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
159,1.0,39,False,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
160,7.0,24,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
161,1.0,31,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
162,3.0,28,True,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
163,2.0,40,True,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
164,1.0,36,True,10,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
165,1.0,42,True,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
166,25.0,25,True,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
167,0.0,37,True,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
168,1.0,36,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
169,10.0,3,True,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
170,2.0,46,False,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
171,12.0,30,True,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
172,2.0,46,True,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
173,6.0,49,False,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
174,2.0,33,True,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
175,2.0,60,False,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
176,12.0,46,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
177,1.0,36,True,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
178,8.0,38,True,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
179,6.0,51,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
180,1.0,28,False,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
181,4.0,32,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
182,2.0,25,False,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
183,5.0,31,True,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
184,1.0,24,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
185,5.0,53,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
186,5.0,27,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
187,0.0,34,True,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
188,1.0,36,True,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
189,3.0,20,False,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
190,1.0,27,True,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
191,3.0,30,True,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
192,5.0,39,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
193,0.0,37,True,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
194,5.0,30,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
195,1.0,32,False,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
196,8.0,52,True,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
197,7.0,12,False,-10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
198,3.0,29,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
199,7.0,37,True,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
200,5.0,34,True,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
201,3.0,3,True,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
202,2.0,32,False,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
203,0.0,31,True,10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
204,2.0,27,False,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
205,12.0,46,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
206,4.0,51,False,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
207,0.0,41,True,8,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
208,1.0,40,False,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
209,4.0,40,False,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
210,2.0,39,False,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
211,1.0,57,True,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
212,0.5,23,True,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
213,2.0,23,True,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
214,8.0,41,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
215,1.0,27,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
216,1.0,47,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
217,5.0,49,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
218,2.0,32,False,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
219,1.0,26,True,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
220,1.0,26,True,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
221,1.0,29,True,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
222,3.0,30,True,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
223,0.5,52,True,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
224,7.0,26,True,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
225,0.5,27,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
226,3.0,30,True,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
227,1.0,34,True,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
228,4.0,35,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
229,3.0,44,True,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
230,25.0,76,True,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
231,25.0,75,True,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
232,20.0,53,False,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
233,4.0,33,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
234,1.0,31,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
235,12.0,60,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
236,7.0,48,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
237,3.0,32,True,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
238,3.0,34,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
239,5.0,24,True,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
240,4.0,34,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
241,0.0,32,False,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
242,2.0,46,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
243,1.0,27,True,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
244,0.2,43,False,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
245,5.0,32,True,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
