Timestamp,Favorite programming language,Favorite Monty Python movie,Years of Python experience,Have used Scikit-learn,Age,"In the Terminator franchise, did you root for the humans or the machines?",Which is the better game?,Years of post-secondary education (e.g. BA=4; Ph.D.=10),How successful has this tutorial been so far?
4/8/2018 13:07:17,Python,Monty Python and the Holy Grail,4,Nope.,51,Team Humans!,Go,8,9
4/8/2018 13:07:18,Python,Monty Python Live at the Hollywood Bowl,0,Nope.,41,Team Humans!,Chess,8,8
4/8/2018 13:07:21,Python,Monty Python and the Holy Grail,1,Nope.,40,Team Humans!,Go,8,8
4/8/2018 13:07:24,Python,Monty Python's Life of Brian,4,Nope.,40,Skynet is a WINNER!,Chess,5,10
4/8/2018 13:07:26,Python,Monty Python and the Holy Grail,2,Yep!,39,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",8,4
4/8/2018 13:07:27,C++,Monty Python and the Holy Grail,1,Nope.,57,Team Humans!,Chess,10,7
4/8/2018 13:07:30,R,Time Bandits,0.5,Nope.,23,Team Humans!,Go,4,10
4/8/2018 13:07:31,Python,And Now for Something Completely Different,2,Nope.,23,Team Humans!,Chess,4,5
4/8/2018 13:07:40,Python,Monty Python and the Holy Grail,8,Nope.,41,Team Humans!,Chess,5,3
4/8/2018 13:07:42,Python,Monty Python and the Holy Grail,1,Yep!,27,Team Humans!,Go,4,8
4/8/2018 13:07:49,Python,Monty Python and the Holy Grail,1,Nope.,47,Team Humans!,"Tic-tac-toe (Br. Eng. ""noughts and crosses"")",6,7
4/8/2018 13:07:49,Python,Monty Python and the Holy Grail,5,Nope.,49,Team Humans!,Chess,4,7
4/8/2018 13:07:51,Python,Monty Python's The Meaning of Life,2,Nope.,32,Team Humans!,Chess,4,7
4/8/2018 13:08:02,R,Monty Python's Life of Brian,1,Yep!,26,Team Humans!,Longing for the sweet release of death,6,8
4/8/2018 13:08:15,Python,Time Bandits,1,Yep!,26,Skynet is a WINNER!,Chess,4,8
4/8/2018 13:08:15,Python,Monty Python and the Holy Grail,1,Yep!,29,Team Humans!,Chess,6,9
4/8/2018 13:08:30,Python,Monty Python's The Meaning of Life,3,Yep!,30,Team Humans!,Chess,6,5
4/8/2018 13:09:45,R,Monty Python and the Holy Grail,0.5,Nope.,52,Team Humans!,Chess,6,4
4/8/2018 13:10:55,Python,And Now for Something Completely Different,7,Yep!,26,Team Humans!,Longing for the sweet release of death,4,6
4/8/2018 13:11:08,Python,Monty Python and the Holy Grail,0.5,Yep!,27,Skynet is a WINNER!,Go,4,9
4/8/2018 13:11:18,Python,And Now for Something Completely Different,3,Yep!,30,Team Humans!,Chess,2,7
4/8/2018 13:12:05,Python,Monty Python and the Holy Grail,1,Nope.,34,Skynet is a WINNER!,Chess,6,6
4/8/2018 13:12:11,Python,Monty Python's The Meaning of Life,4,Yep!,35,Team Humans!,Go,6,5
4/8/2018 13:17:36,Python,Time Bandits,3,Yep!,44,Team Humans!,Chess,6,9
4/8/2018 13:25:43,Python,And Now for Something Completely Different,25,Yep!,76,Team Humans!,Chess,23,1
4/10/2018 10:37:16,Python,Monty Python's The Meaning of Life,25,Yep!,75,Skynet is a WINNER!,Longing for the sweet release of death,12,10
